morpheme_pt,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_pt,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
.,.,,,.,,,,,,,,,,,,,
a,the,,,det,,F,def,,,,,,,,,,
o,the,,,det,,M,def,,,,,,,,,,
uma,a,,,det,,F,indef,,,,,,,,,,
um,a,,,det,,M,indef,,,,,,,,,,
ele,he,,,pron,,M,subject,,,,,,,,,,
ela,she,,,pron,,F,subject,,,,,,,,,,
homem,man,MAN,HUMAN,noun,M,M,,,,,,,,,,,
menino,boy,BOY,CHILD,noun,M,M,,,,,,,,,,,
pai,father,FATHER,PARENT,noun,M,M,,,,,,,,,,,
irmão,brother,BROTHER,SIBLING,noun,M,M,,,,,,,,,,,
avô,grandfather,GRANDFATHER,GRANDPARENT,noun,M,M,,,,,,,,,,,
tio,uncle,UNCLE,UNCLES,noun,M,M,,,,,,,,,,,
anfitrião,host,HOST,HOST,noun,M,M,,,,,,,,,,,
garçom,waiter,WAITER,WAITER,noun,M,M,,,,,,,,,,,
senhor,gentleman,GENTLEMAN,GENTLEMAN,noun,M,M,,,,,,,,,,,
cachorro,dog,DOG,DOG,noun,M,M,,,,,,,,,,,
novio,boyfriend,BOYFRIEND,PARTNER,noun,M,M,,,,,,,,,,,
gallo,rooster,ROOSTER,ROOSTER,noun,M,M,,,,,,,,,,,
mulher,woman,WOMAN,HUMAN,noun,F,F,,,,,,,,,,,
menina,girl,GIRL,CHILD,noun,F,F,,,,,,,,,,,
mãe,mother,MOTHER,PARENT,noun,F,F,,,,,,,,,,,
irmã,sister,SISTER,SIBLING,noun,F,F,,,,,,,,,,,
avó,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,,,,,,,,,,,
tia,aunt,AUNT,UNCLES,noun,F,F,,,,,,,,,,,
anfitriã,hostess,HOSTESS,HOST,noun,F,F,,,,,,,,,,,
senhora,lady,LADY,LADY,noun,F,F,,,,,,,,,,,
garçonete,waitress,WAITRESS,WAITER,noun,F,F,,,,,,,,,,,
gata,cat,CAT,CAT,noun,F,F,,,,,,,,,,,
novia,girlfriend,GIRLFRIEND,PARTNER,noun,F,F,,,,,,,,,,,
gallina,hen,HEN,HEN,noun,F,F,,,,,,,,,,,
cojín,cushion,CUSHION,CUSHION,noun,,M,,,,,,,,,,,
caneta,pen,PEN,PEN,noun,,M,,,,,,,,,,,
livro,book,BOOK,BOOK,noun,,M,,,,,,,,,,,
bajo,bass,BASS,BASS,noun,,M,,,,,,,,,,,
brinquedo,toy,TOY,TOY,noun,,M,,,,,,,,,,,
bola,ball,BALL,BALL,noun,,F,,,,,,,,,,,
chave,key,KEY,KEY,noun,,F,,,,,,,,,,,
cadeira,chair,CHAIR,CHAIR,noun,,F,,,,,,,,,,,
botella,bottle,BOTTLE,BOTTLE,noun,,F,,,,,,,,,,,
guitarra,guitar,GUITAR,GUITAR,noun,,F,,,,,,,,,,,
inteligente,intelligent,INTELLIGENT,INTELLIGENT,adj,M-F,M-F,,,,,,,,,,,
amável,kind,KIND,KIND,adj,M-F,M-F,,,,,,,,,,,
feliz,happy,HAPPY,HAPPY,adj,M-F,M-F,,,,,,,,,,,
triste,sad,SAD,SAD,adj,M-F,M-F,,,,,,,,,,,
alto,tall,TALL,TALL,adj,M,M,,,,,,,,,,,
alta,tall,TALL,TALL,adj,F,F,,,,,,,,,,,
baixo,short,SHORT,SHORT,adj,M,M,,,,,,,,,,,
baixa,short,SHORT,SHORT,adj,F,F,,,,,,,,,,,
cansado,tired,TIRED,TIRED,adj,M,M,,,,,,,,,,,
cansada,tired,TIRED,TIRED,adj,F,F,,,,,,,,,,,
ocupado,busy,BUSY,BUSY,adj,M,M,,,,,,,,,,,
ocupada,busy,BUSY,BUSY,adj,F,F,,,,,,,,,,,
tranquilo,calm,CALM,CALM,adj,M,M,,,,,,,,,,,
tranquila,calm,CALM,CALM,adj,F,F,,,,,,,,,,,
focado,focused,FOCUSED,FOCUSED,adj,M,M,,,,,,,,,,,
focada,focused,FOCUSED,FOCUSED,adj,F,F,,,,,,,,,,,
está,is,BE,BE,verb,,,copular,present,,,,,,,,,
tem,has,HAS,HAS,verb,,,possession,present,,,,,,,,,
está,is,,,aux,,,auxiliary_verb,present,progressive,singular,,,,,,,
tem,has,,,aux,,,auxiliary_verb,present,perfect,singular,,,,,,,
nada,swims,SWIM,SWIM,verb,,,intrans,present,,3rd_singular,,,,,,,
salta,jumps,JUMP,JUMP,verb,,,intrans,present,,3rd_singular,,,,,,,
caminha,walks,WALK,WALK,verb,,,intrans,present,,3rd_singular,,,,,,,
corre,runs,RUN,RUN,verb,,,intrans,present,,3rd_singular,,,,,,,
chega,arrives,ARRIVE,ARRIVE,verb,,,intrans,present,,3rd_singular,,,,,,,
espirra,sneezes,SNEEZE,SNEEZE,verb,,,intrans,present,,3rd_singular,,,,,,,
morre,dies,DIE,DIE,verb,,,intrans,present,,3rd_singular,,,,,,,
come,eats,EAT,EAT,verb,,,intrans,present,,3rd_singular,,,,,,,
empurra,pushes,PUSH,PUSH,verb,,,trans,present,,3rd_singular,,,,,,,
chuta,kicks,KICK,KICK,verb,,,trans,present,,3rd_singular,,,,,,,
carrega,carries,CARRY,CARRY,verb,,,trans,present,,3rd_singular,,,,,,,
dá,gives,GIVE,GIVE,verb,,,double,present,,3rd_singular,,,,,,,
atira,throws,THROW,THROW,verb,,,double,present,,3rd_singular,,,,,,,
mostra,shows,SHOW,SHOW,verb,,,double,present,,3rd_singular,,,,,,,
nadou,swam,SWIM,SWIM,verb,,,intrans,past,,3rd_singular,,,,,,,
saltou,jumped,JUMP,JUMP,verb,,,intrans,past,,3rd_singular,,,,,,,
caminhou,walked,WALK,WALK,verb,,,intrans,past,,3rd_singular,,,,,,,
correu,ran,RUN,RUN,verb,,,intrans,past,,3rd_singular,,,,,,,
chegou,arrived,ARRIVE,ARRIVE,verb,,,intrans,past,,3rd_singular,,,,,,,
espirrou,sneezed,SNEEZE,SNEEZE,verb,,,intrans,past,,3rd_singular,,,,,,,
morreu,died,DIE,DIE,verb,,,intrans,past,,3rd_singular,,,,,,,
comeu,ate,EAT,EAT,verb,,,intrans,past,,3rd_singular,,,,,,,
empurrou,pushed,PUSH,PUSH,verb,,,trans,past,,3rd_singular,,,,,,,
chutou,kicked,KICK,KICK,verb,,,trans,past,,3rd_singular,,,,,,,
carregou,carried,CARRY,CARRY,verb,,,trans,past,,3rd_singular,,,,,,,
deu,gave,GIVE,GIVE,verb,,,double,past,,3rd_singular,,,,,,,
atirou,throwed,THROW,THROW,verb,,,double,past,,3rd_singular,,,,,,,
mostrou,showed,SHOW,SHOW,verb,,,double,past,,3rd_singular,,,,,,,
nadando,swimming,SWIM,SWIM,participle,,,intrans,,progressive,,,,,,,,
saltando,jumping,JUMP,JUMP,participle,,,intrans,,progressive,,,,,,,,
caminhando,walking,WALK,WALK,participle,,,intrans,,progressive,,,,,,,,
correndo,running,RUN,RUN,participle,,,intrans,,progressive,,,,,,,,
chegando,arriving,ARRIVE,ARRIVE,participle,,,intrans,,progressive,,,,,,,,
espirrando,sneezing,SNEEZE,SNEEZE,participle,,,intrans,,progressive,,,,,,,,
morrendo,dying,DIE,DIE,participle,,,intrans,,progressive,,,,,,,,
comendo,eating,EAT,EAT,participle,,,intrans,,progressive,,,,,,,,
empurrando,pushing,PUSH,PUSH,participle,,,trans,,progressive,,,,,,,,
chutando,kicking,KICK,KICK,participle,,,trans,,progressive,,,,,,,,
carregando,carrying,CARRY,CARRY,participle,,,trans,,progressive,,,,,,,,
dando,giving,GIVE,GIVE,participle,,,double,,progressive,,,,,,,,
atirando,throwing,THROW,THROW,participle,,,double,,progressive,,,,,,,,
mostrando,showing,SHOW,SHOW,participle,,,double,,progressive,,,,,,,,
nadado,swum,SWIM,SWIM,participle,,,intrans,,perfect,,,,,,,,
saltado,jumped,JUMP,JUMP,participle,,,intrans,,perfect,,,,,,,,
caminhado,walked,WALK,WALK,participle,,,intrans,,perfect,,,,,,,,
corrido,run,RUN,RUN,participle,,,intrans,,perfect,,,,,,,,
chegado,arrived,ARRIVE,ARRIVE,participle,,,intrans,,perfect,,,,,,,,
espirrado,sneezed,SNEEZE,SNEEZE,participle,,,intrans,,perfect,,,,,,,,
morto,died,DIE,DIE,participle,,,intrans,,perfect,,,,,,,,
comido,eaten,EAT,EAT,participle,,,intrans,,perfect,,,,,,,,
empurrado,pushed,PUSH,PUSH,participle,,,trans,,perfect,,,,,,,,
chutado,kicked,KICK,KICK,participle,,,trans,,perfect,,,,,,,,
carregado,carried,CARRY,CARRY,participle,,,trans,,perfect,,,,,,,,
dado,given,GIVE,GIVE,participle,,,double,,perfect,,,,,,,,
atirado,thrown,THROW,THROW,participle,,,double,,perfect,,,,,,,,
mostrado,shown,SHOW,SHOW,participle,,,double,,perfect,,,,,,,,
a_,to,,,prep,,,to,,,,,,,,,,
